player,week,opponent,snap_count,tot_snaps,pass_snaps,pass_grade,pblk_grade,run_grade,rblk_grade,penalties
Justin Herbert,1,KC,65,65,43,84.0,81.6,-,73.9,1
Justin Herbert,2,@LV,58,58,33,67.9,68.5,-,58.8,0
Justin Herbert,3,DEN,86,86,58,74.1,72.9,-,60.4,0
Justin Herbert,4,@NYG,63,63,48,65.1,61.0,-,74.6,1
Justin Herbert,5,WAS,61,61,37,84.1,78.9,-,75.9,0
Justin Herbert,6,@MIA,64,64,39,66.0,63.6,-,62.6,0
Justin Herbert,7,IND,76,76,63,81.6,79.1,-,73.7,1
Justin Herbert,8,MIN,72,72,35,93.6,91.5,-,82.7,0
